CODIGO;NOME;PALETE;LASTRO;CAIXA
30047;51 ICE MACA VERDE GARRAFA VD 275ML CX C6 (ICE 51 MAÇÃ VERDE);512;16;6
33967;29 SABORES CEREJA GFA PET 490ML CX 12 (29 SAB CER);160;10;12
33971;29 SABORES LIMAO GFA PET 490ML CX 12 (29 SAB LIM);160;10;12
34708;29 SABORES BLUEBERRY GFA PET 490ML CX 12 (29 SAB BLUEB);160;10;12
21533;BLACK STONE GARRAFA VIDRO 1 L (W BLACK STONE 1L);672;0;1
23030;JOHNNIE WALKER BLACK LABEL GARRAFA VIDRO 750ML (JW BLACK 750);768;0;1
23029;JOHNNIE WALKER BLACK LABEL GARRAFA VIDRO 1 L (JW BLACK 1L);585;0;1
32122;SMIRNOFF VODKA N21 GFA PET 1,75L (SMIR RED 1,75L);55;0;1
27001;GORDONS GIN DRY GFA VD 750 ML (GORDONS GIN 750);64;0;1
26992;GILBEYS GIN GFA VIDRO 700ML (GILBEYS GIN 700ML);720;0;1
21532;ROCKS DRY GIN GARRAFA VIDRO 995ML (GIN ROCKS DRY 995ML);660;0;1
22543;ROCKS STRAMBERRY GARRAFA VIDRO 1 L (RIN ROCKS STRAWBERRY 1L);600;0;1
21789;ORLOFF GARRAFA VIDRO 1 L (ORLOFF 1L);576;0;1
24571;ORLOFF VODKA GFA PET 1,75L (ORLOFF 1750ml);60;0;1
21529;ABSOLUT ORIGINAL GARRAFA VIDRO 1 L (ABSOLUT 1L);480;0;1
21779;VELHO BARREIRO GARRAFA VIDRO 910ML (VBARR 910ML);720;0;1
21791;PIRASSUNUNGA 51 GARRAFA VIDRO 965ML (CACH P51 965ML);840;0;1
25220;CACHACA 51 PIRASS OURO DESCARTAVEL GFA DE VDRO 965ML (CACH OURO P51 965ML);720;0;1
22405;BACARDI BIG APPLE GARRAFA VIDRO 980ML (BAC BIGAPPLE 980ML);528;0;1
29654;PASSPORT HONEY LICOR GARRAFA VIDRO 670ML (PASS HONEY);840;0;1
26037;MONTILLA CARTA CRISTAL GFA VDR 1L (MONTILLA CRISTAL);576;0;1
22564;ABSOLUT ORIGINAL GARRAFA VIDRO 750ML (ABSOLUT 750ml);576;0;1
22384;NATASHA GARRAFA VIDRO 900ML (VODKA NATASHA 900ML);672;0;1
21531;RAJSKA ORIGINAL GARRAFA VIDRO 1 L (VODKA RAJSKA 1L);660;0;1
21786;MONTILLA CARTA BRANCA GARRAFA VIDRO 1 L (MONTILLA BRANCA);576;0;1
22830;MONTILLA CARTA OURO GARRAFA VIDRO 1 L (MONTILLA ouro);576;0;1
21886;BEEFEATER LONDON DRY GARRAFA VIDRO 750ML (BEEFEATER);816;0;1
22382;PASSPORT SELECTION GARRAFA VIDRO 1 L (PASSPORT SCOTCH 1L);576;0;1
21955;CHIVAS REGAL 12 ANOS GARRAFA VIDRO 1 L (CHIVAS 1L);384;0;1
23233;NATU NOBILIS APERITIVO GARRAFA VIDRO 1 L (NATU NOBILIS 1 L);540;0;1
21788;BALLANTINES FINEST GARRAFA VIDRO 1 L (BALLANTINES 1 L);480;0;1
20164;SKOL LT 473ML SH C/12 NPAL MULTPACK 12 (SKOL MULTPACK 473);220;22;12
32685;POLAR EXPORT LT 473ML SH C/12 NPAL MULTPACK 12 (POLAR MULTPACK 473);220;22;12
22326;BRAHMA DUPLO MALTE LT 473ML SH C/12 NPAL (BDM 473);220;22;12
9427;ANTARCTICA PILSEN LT 473ML SH C/12 NPAL (AP 473);220;22;12
32683;ANTARCTICA PILSEN LT 473ML SH C/12 NPAL MULTPACK 12 (AP MP 473);220;22;12
9431;POLAR EXPORT LT 473ML SH C/12 NPAL (PE 473);220;22;12
10175;ANTARCTICA SUBZERO LT 473ML SH C/12 NPAL (AP SZ 473);220;22;12
14135;BUDWEISER LATA 473ML SIX-PACK SH C/2 NPAL (BUD 473);220;22;12
26188;STELLA ARTOIS LT 473ML CX CARTAO C/12 (STE 473);220;22;12
32473;STELLA ARTOIS PURE GOLD LT 473ML CX CARTAO C/12 (STE PURE GOLD 473);220;22;12
25837;SPATEN N LT 473ML CX CARTAO C/12 (SPA 473);220;22;12
31856;CORONA EXTRA N LT 473ML CX CARTAO C/12 (COR 473);220;22;12
26462;ORIGINAL LT 473ML CX CARTAO C/12 (ORI 473);220;22;12
